material_id,composition,nsites,crystal_system,space_group,volume,density,density_atomic,efermi,energy_per_atom,formation_energy_per_atom,is_gap_direct,band_gap
mp-12307,Tl8 Ge8 S20,36,Monoclinic,15,981.6910856448372,4.833463264425383,27.269196823467702,1.73048613,-4.534531457499996,-0.681109481851849,False,2.162099999999999
mp-540818,Tl8 Ge8 Se20,36,Monoclinic,15,1090.1606102607834,5.781154933248509,30.28223917391065,1.56899983,-4.107143082777778,-0.610636712598382,False,1.484099999999999
mp-653561,Tl8 Ge4 Pb4 S16,32,Monoclinic,14,889.8412646123757,6.097442118922613,27.80753951913674,3.0944469,-4.40428076,-0.7002735814583341,False,1.9211
mp-7277,Tl4 Ge2 S6,12,Triclinic,2,333.0675257589915,5.759372785113222,27.755627146582626,2.27339166,-4.29318714999999,-0.663012018194435,False,1.7699
mp-14242,Tl4 Ge2 Se6,12,Triclinic,2,366.052564772349,6.516785156563859,30.50438039769575,2.42621651,-3.919981565833334,-0.611030478949656,False,1.153
mp-29034,Tl16 Ge8 Te24,48,Orthorhombic,62,1652.3873848386577,6.947759752129458,34.4247371841387,4.23390825,-3.551293354166667,-0.418645059444446,False,0.46849999999999903
mp-569675,Tl2 Hg2 Pd1 Cl8,13,Monoclinic,12,387.04157701054777,5.148364902405486,29.772429000811368,0.39814737,-3.04859964,-1.100098677051284,False,1.7216
mp-1188364,Tl4 Hg6 S8,18,Monoclinic,15,483.25254641718107,7.826202912871075,26.84736368984339,2.14954652,-2.89401464333334,-0.42452590824075004,False,1.579699999999999
mp-1105692,Tl4 Hg6 Se8,18,Monoclinic,15,526.6675305628945,8.363910943855155,29.25930725349414,1.90047537,-34.96420249666667,-0.329950313194444,False,1.035699999999999
mp-989555,Tl2 In1 Ga1 F6,10,Cubic,225,186.60933866626448,6.293875756726659,18.660933866626447,2.0797901,-4.582523317,-2.381190492083334,True,2.3602
mp-1217035,Tl8 Mo8 P8 O44,68,Monoclinic,4,1058.2925297962047,5.263222805261679,15.563125438179481,2.31439308,-7.588931101470589,-2.195239186232494,False,2.296699999999999
mp-1208507,Tl8 Mo12 P12 O68,100,Monoclinic,14,1570.9694993457051,4.488077909705137,15.70969499345705,1.33213683,-7.7200886445000005,-2.214422555523811,False,2.348799999999999
mp-1201686,Tl4 Mo6 Se2 O24,36,Trigonal,159,574.7168284589719,5.59105595179007,15.964356346082553,1.38991393,-7.290080087777778,-1.726116859945024,True,2.3865
mp-648007,Tl16 Mo32 O104,152,Orthorhombic,61,2389.59109478363,5.562125027648502,15.720994044629146,1.94610266,-7.7656785765789484,-1.847308169298247,False,2.8189
mp-27484,Tl4 O2,6,Trigonal,166,142.54251278066627,9.896563816701345,23.75708546344438,3.98236093,-4.044394161666669,-0.8140924155555621,True,0.5717000000000001
mp-1194963,Tl4 P8 Pd6 O28,46,Orthorhombic,74,698.7343462065909,5.113806098915485,15.189877091447627,1.68239782,-6.832368977608718,-1.996893419575592,False,1.1747
mp-9510,Tl4 P2 Au2 S8,16,Monoclinic,11,432.72364349107414,5.870987142438443,27.045227718192134,2.8401354,-4.351779359375,-0.6035621057886921,False,1.299399999999999
mp-28217,Tl32 P16 S48,96,Orthorhombic,61,2731.012187304359,5.213841870998478,28.44804361775374,2.92798102,-4.411933728229166,-0.6496843180307551,True,2.3951000000000002
mp-28394,Tl16 P8 Se24,48,Monoclinic,14,1408.6541260249703,6.380868226488224,29.346960958853547,2.89968104,-26.785669004791668,-0.40310797731894804,False,1.5761
mp-29889,Tl2 Pd1 Cl4,7,Tetragonal,123,216.05964324017216,5.049401293275214,30.865663320024595,0.62398104,-3.651760194285714,-1.177903445238097,False,1.0534
mp-13801,Tl4 Pt4 O14,22,Cubic,227,265.7152037150163,11.385389281494708,12.077963805228013,4.90893717,-5.832917665909088,-1.149196037878786,True,0.6958000000000001
mp-28805,Tl4 Pt10 S12,26,Monoclinic,14,546.9176905701613,9.573532108855986,21.03529579116005,4.66952631,-5.269962833461538,-0.6600575843589741,False,0.9724
mp-27834,Tl2 Pt1 Cl6,9,Cubic,225,237.2769337619848,5.714605458527341,26.364103751331644,0.83894569,-3.620779184444444,-1.186853145185187,False,1.7373999999999992
mp-1208181,Tl4 Pt2 I12,18,Tetragonal,128,679.4198528679663,6.67362451387604,37.74554738155368,2.6537171600000002,-2.854146263888885,-0.6365736812962931,False,0.5825
mp-556516,Tl18 S9,27,Trigonal,146,877.923757882407,7.5042539664458054,32.51569473638545,3.73642589,-3.465230354074074,-0.5047957537963,False,0.7668
mp-30520,Tl8 S20,28,Orthorhombic,19,761.1146755977738,4.9663939722707635,27.18266698563478,2.75036392,-4.131332725714283,-0.497798144166665,False,1.667899999999999
mp-8190,Tl4 Si2 S6,12,Triclinic,2,325.6327374382751,5.436465269746531,27.136061453189594,2.68179134,-4.608933219166663,-0.845043058194442,False,2.360299999999999
mp-14241,Tl4 Si2 Se6,12,Triclinic,2,359.84082405715776,6.218074202135287,29.98673533809648,2.42833289,-4.158216456666665,-0.7155503406163201,False,1.682799999999999
mp-6023,Tl2 Sn1 As2 S6,11,Trigonal,147,296.9870624954951,4.862794652971724,26.998823863226825,3.13829492,-4.476168192727273,-0.574084687424243,False,0.9788999999999991
mp-28011,Tl4 Sn4 S6,14,Monoclinic,15,399.8075697707744,6.16673491115639,28.557683555055316,4.17342323,-4.21385681642857,-0.617118724166666,False,0.8386
mp-27832,Tl2 Sn1 Cl6,9,Cubic,225,251.3367043780097,4.890340442825908,27.926300486445523,0.57422051,-3.636186655555554,-1.431323001296296,False,2.4814
